DetectorId,TypeEstimation,DurationTotalMinutes,TypeEstimation1,TypeEstimation2,Date,Hour,DayTime
PIRPresenceDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-08,21,Evening
AudioSoundDetector,tooth_brushing,0.1,tooth,brushing,2015-01-12,21,Evening
AudioSoundDetector,shower_usage,6.1,shower,usage,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,0.2,person,in_bathroom,2015-01-12,21,Evening
AudioSoundDetector,basin_usage,0.2,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,basin_usage,0.1,basin,usage,2015-01-08,21,Evening
AudioSoundDetector,bathtub_filling,0.6,bathtub,filling,2015-01-08,21,Evening
AudioSoundDetector,tooth_brushing,0.1,tooth,brushing,2015-01-12,21,Evening
AudioSoundDetector,tooth_brushing,0.1,tooth,brushing,2015-01-08,21,Evening
AudioSoundDetector,bathtub_filling,0.9,bathtub,filling,2015-01-08,21,Evening
PIRPresenceDetector,person_next_to_toilet,0.2,person,next_to_toilet,2015-01-12,21,Evening
LocationDetector,person_in_bathroom,0.6,person,in_bathroom,2015-01-08,21,Evening
PIRPresenceDetector,person_next_to_toilet,0.1,person,next_to_toilet,2015-01-13,18,Evening
AudioSoundDetector,tooth_brushing,0.1,tooth,brushing,2015-01-08,21,Evening
LocationDetector,person_next_to_sink,1.0,person,next_to_sink,2015-01-12,21,Evening
LocationDetector,person_next_to_shower,0.1,person,next_to_shower,2015-01-12,21,Evening
AudioSoundDetector,toilet_usage,0.0,toilet,usage,2015-01-12,21,Evening
